country_id;country_name
d67d0ef1-e757-46c4-8bbb-604008619f44;Response Tasty
a9ca1d39-24c4-4552-82a0-2e2dc05d2604;Facilitator deposit
409a10da-b343-4dff-a949-bd7001915c51;invoice
458e28c3-2ace-4b3d-9510-6a1897881587;implement Coordinator Computers
63d17599-a8d4-4c8b-8611-fed6cddcaec7;out-of-the-box reintermediate withdrawal
574fa285-f520-4c12-a434-22df816b676f;Customer Configuration
7d3cd79a-5e32-4c30-9bfd-573bff3e859e;Handmade green
16605178-bc19-4e64-84d9-9ba1e1747cd5;disintermediate
0d25f536-3956-48d9-82c2-9877864f8ef2;magenta
fc73ff3d-1c15-44c9-a4f8-79b94f85a562;connecting Account
