job_id;job_title;min_salary;max_salary
a805f71d-bf9d-4246-9c2a-0705eab7224c;Senior Data Executive;77867;47774
d5508873-536d-4dc0-a5b7-33ae78311517;Dynamic Accounts Architect;71259;29959
3789d5cb-6226-448e-b8fb-8ae81b951147;Chief Infrastructure Assistant;95962;22324
14eb0322-1e8f-4be6-8434-5370a96865b3;District Interactions Planner;22187;3921
8697dcc9-a238-4e31-8344-bf98eb3dfba4;Dynamic Applications Specialist;86703;13003
0d540d3f-4733-4322-97fa-a0033356935b;Lead Intranet Producer;71069;18092
0fd5467e-d93b-4616-b4bd-0b51b5b89b1c;Investor Functionality Architect;38210;32562
53cdbb59-ac75-4a07-8169-e675d49d1e54;Chief Branding Specialist;71353;40799
02dba33e-e5fc-4387-b4b2-e897cd17ae30;Customer Brand Strategist;73424;51338
21e1d54a-c33a-4a11-949c-011cd55c8c05;Central Usability Associate;35646;26615
